ASIN,Title,Price,Original Price,Currency,Star Rating,Number of Ratings,Product URL,Image URL,Number of Offers,Minimum Offer Price,Best Seller,Amazon Choice,Prime Eligible,Climate Pledge Friendly,Sales Volume,Delivery Info,Has Variations
B0CJCTW1C5,Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue,$59.99,,USD,3.1,0,https://www.amazon.com/dp/B0CJCTW1C5,https://m.media-amazon.com/images/I/71PGVVHz08L._AC_UY654_FMwebp_QL65_.jpg,2,$46.13,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B09BM2FZ3M,OnePlus Nord N200 | 5G Unlocked U.S Version | 6.49&quot; Full HD+LCD Screen | 90Hz Smooth Display | Large 5000mAh Battery | Fast Charging | 64GB Storage | Triple Camera (Unlocked) (Renewed),$84.00,,USD,4.1,0,https://www.amazon.com/dp/B09BM2FZ3M,https://m.media-amazon.com/images/I/61-JhZg6+yL._AC_UY654_FMwebp_QL65_.jpg,6,$74.99,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,FREE delivery,FALSE
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",$92.00,,USD,3.8,0,https://www.amazon.com/dp/B09T3MQSVP,https://m.media-amazon.com/images/I/61PkHEMqZfL._AC_UY654_FMwebp_QL65_.jpg,33,$82.05,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",$270.00,,USD,3.8,0,https://www.amazon.com/dp/B096T6Y623,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_UY654_FMwebp_QL65_.jpg,21,$232.99,FALSE,FALSE,TRUE,TRUE,3K+ bought in past month,"FREE delivery Tue, Dec 24 Or fastest delivery Thu, Dec 19 Arrives before ChristmasOnly 3 left in stock - order soon.",TRUE
B09BFRV59N,"SAMSUNG Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display Screen, Pro Grade Camera, All Day Intelligent Battery, US Version, 2022, White",$349.97,$599.99,USD,4.5,0,https://www.amazon.com/dp/B09BFRV59N,https://m.media-amazon.com/images/I/61S8-z34EFL._AC_UY654_FMwebp_QL65_.jpg,1,$349.97,FALSE,FALSE,TRUE,TRUE,1K+ bought in past month,"FREE delivery Dec 17 - 19 Or fastest delivery Sat, Dec 14 Arrives before ChristmasOnly 2 left in stock - order soon.",TRUE
B0CHH1N9VY,TracFone | Motorola Moto g Pure | Locked | 32GB | 4000 mAh Battery | 13 MP Dual Camera System | 6.5&quot; Max Vision HD+ Display | Blue,$49.99,,USD,4.2,0,https://www.amazon.com/dp/B0CHH1N9VY,https://m.media-amazon.com/images/I/71zGrrAe5NL._AC_UY654_FMwebp_QL65_.jpg,1,$49.99,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B0C2S6TKTL,"Motorola Moto G Stylus 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Cosmic Black, 162.83x73.77x9.29",$209.99,$399.99,USD,4.2,0,https://www.amazon.com/dp/B0C2S6TKTL,https://m.media-amazon.com/images/I/61O66kJiiGL._AC_UY654_FMwebp_QL65_.jpg,6,$172.95,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,$96.69,$118.97,USD,4.1,0,https://www.amazon.com/dp/B0CRWT7WF1,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UY654_FMwebp_QL65_.jpg,10,$91.47,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Mon, Dec 23 Or fastest delivery Thu, Dec 19 Arrives before ChristmasOnly 6 left in stock - order soon.",TRUE
B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),$72.00,,USD,3.9,0,https://www.amazon.com/dp/B084KS5WYC,https://m.media-amazon.com/images/I/71Eh6YWqqyL._AC_UY654_FMwebp_QL65_.jpg,12,$68.75,FALSE,FALSE,FALSE,TRUE,1K+ bought in past month,FREE deliveryOnly 2 left in stock - order soon.,FALSE
B086QC62JR,"AT&amp;T BL102-4 DECT 6.0 4-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",$99.95,,USD,4.3,0,https://www.amazon.com/dp/B086QC62JR,https://m.media-amazon.com/images/I/81Hje8aE6FL._AC_UY654_FMwebp_QL65_.jpg,3,$44.39,TRUE,FALSE,TRUE,FALSE,2K+ bought in past month,"FREE delivery Fri, Dec 20 Or fastest delivery Mon, Dec 16 Arrives before Christmas",FALSE
B0CRFB8HW4,"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7&quot; Dual SIM Fully Unlocked Global 4G LTE A055M/DS (Black)",$105.94,,USD,3.8,0,https://www.amazon.com/dp/B0CRFB8HW4,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UY654_FMwebp_QL65_.jpg,11,$96.87,FALSE,FALSE,TRUE,FALSE,2K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before ChristmasOnly 9 left in stock - order soon.",TRUE
B0BN92S2ZZ,"Apple iPhone 14 Pro Max, 256GB, Deep Purple - Unlocked (Renewed)",$667.33,,USD,4.1,0,https://www.amazon.com/dp/B0BN92S2ZZ,https://m.media-amazon.com/images/I/514qx+0Do8L._AC_UY654_FMwebp_QL65_.jpg,15,$619.43,FALSE,FALSE,FALSE,FALSE,1K+ bought in past month,"FREE delivery Sat, Dec 14 Or fastest delivery Tomorrow, Dec 13 Arrives before ChristmasOnly 5 left in stock - order soon.",TRUE
B0BTMRRKG7,"Panasonic Cordless Phone with Advanced Call Block, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 4 Handsets - KX-TGF944B (Black)",$129.99,$149.99,USD,4.3,0,https://www.amazon.com/dp/B0BTMRRKG7,https://m.media-amazon.com/images/I/71DdbWuhvkL._AC_UY654_FMwebp_QL65_.jpg,2,$72.18,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B0CV4NH5T9,"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Lilac",$299.99,$399.99,USD,4.4,0,https://www.amazon.com/dp/B0CV4NH5T9,https://m.media-amazon.com/images/I/71hvjmD42tL._AC_UY654_FMwebp_QL65_.jpg,2,$296.99,FALSE,FALSE,FALSE,TRUE,3K+ bought in past month,FREE delivery,TRUE
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",$214.88,$361.15,USD,3.9,0,https://www.amazon.com/dp/B08VLMQ3KS,https://m.media-amazon.com/images/I/61XyNdmvr6L._AC_UY654_FMwebp_QL65_.jpg,23,$156.00,FALSE,FALSE,FALSE,TRUE,3K+ bought in past month,FREE deliveryOnly 1 left in stock - order soon.,TRUE
B00FRSYS12,"VTech CS6719-2 2-Handset Expandable Cordless Phone with Caller ID/Call Waiting, Handset Intercom &amp; Backlit Display/Keypad, Silver",$38.95,,USD,4.3,0,https://www.amazon.com/dp/B00FRSYS12,https://m.media-amazon.com/images/I/71HLNfFVCcL._AC_UY654_FMwebp_QL65_.jpg,26,$24.79,FALSE,FALSE,TRUE,FALSE,2K+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
ASIN,Title,Price,Original Price,Currency,Star Rating,0,Product URL,Image URL,Number of Offers,Minimum Offer Price,Best Seller,Amazon Choice,Prime Eligible,Climate Pledge Friendly,Sales Volume,Delivery Info,Has Variations
B0CV73SG4Z,"SAMSUNG Galaxy S24 Ultra 5G S9280 Physical Dual SIM 512GB 12GB RAM AI Smartphone, Factory Unlocked, Global Model, Long Battery Life - Titanium Violet",$970.83,,USD,4.1,0,https://www.amazon.com/dp/B0CV73SG4Z,https://m.media-amazon.com/images/I/418KI8X9QBL._AC_UY545_FMwebp_QL65_.jpg,1,$970.83,FALSE,FALSE,FALSE,FALSE,500+ bought in past month,"FREE delivery Sat, Dec 14 Arrives before ChristmasOnly 15 left in stock - order soon.",FALSE
B081Y45G46,"Apple iPhone 11, US Version, 64GB, Black for AT&amp;T (Renewed)",$210.00,,USD,4.2,0,https://www.amazon.com/dp/B081Y45G46,https://m.media-amazon.com/images/I/61MG3m5FhIL._AC_UY654_FMwebp_QL65_.jpg,1,$210.00,FALSE,FALSE,FALSE,TRUE,200+ bought in past month,"FREE delivery Thu, Dec 26 Only 1 left in stock - order soon.",TRUE
B0D18SMB1X,"SAMSUNG Galaxy Z Fold 6 AI Cell Phone, 512GB Unlocked Android Smartphone, Circle to Search, Handsfree Live Interpreter, AI Photo Edits, Large Screen, 2024,US 1 Yr Manufacturer Warranty, Silver Shadow","$1,474.98","$2,019.99",USD,4.3,0,https://www.amazon.com/dp/B0D18SMB1X,https://m.media-amazon.com/images/I/61Jjxzg7Q1L._AC_UY654_FMwebp_QL65_.jpg,9,"$1,334.59",FALSE,FALSE,FALSE,TRUE,500+ bought in past month,"FREE delivery Sat, Dec 14 Arrives before ChristmasOnly 15 left in stock - order soon.",TRUE
B09SPXJKG7,"AT&amp;T GL2101-2 DECT 6.0 2-Handset Cordless Home Phone with Call Block, Caller ID, Full-Duplex Handset Speakerphone, 2&quot; White Backlit Display, Lighted Keypad (Graphite &amp; Black)",$32.95,$39.95,USD,4.4,0,https://www.amazon.com/dp/B09SPXJKG7,https://m.media-amazon.com/images/I/81WolDZ58dL._AC_UY654_FMwebp_QL65_.jpg,2,$22.34,FALSE,FALSE,TRUE,FALSE,1K+ bought in past month,"FREE delivery Wed, Dec 18 on $35 of items shipped by AmazonOr fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B088NMH5KL,"Apple iPhone SE (2nd Generation), US Version, 128GB, Black - Unlocked (Renewed)",$149.00,,USD,4.2,0,https://www.amazon.com/dp/B088NMH5KL,https://m.media-amazon.com/images/I/61JNofhHZZL._AC_UY654_FMwebp_QL65_.jpg,13,$133.94,FALSE,FALSE,TRUE,TRUE,1K+ bought in past month,"FREE delivery Tomorrow, Dec 13 Arrives before Christmas",TRUE
B0CRJ1FB26,"Apple iPhone 15 Pro, 256GB, Natural Titanium - Unlocked (Renewed Premium)",$759.99,,USD,4.2,0,https://www.amazon.com/dp/B0CRJ1FB26,https://m.media-amazon.com/images/I/31GYqiDkKTL._AC_UY500_FMwebp_QL65_.jpg,10,$727.68,FALSE,FALSE,TRUE,FALSE,500+ bought in past month,"FREE delivery Sat, Dec 14 Arrives before ChristmasOnly 14 left in stock - order soon.",TRUE
B09LPB9SQH,"Apple iPhone 13 Pro, 128GB, Sierra Blue - Unlocked (Renewed)",$397.04,$463.50,USD,4.1,0,https://www.amazon.com/dp/B09LPB9SQH,https://m.media-amazon.com/images/I/51UuPZLMaCL._AC_UY654_FMwebp_QL65_.jpg,35,$382.89,FALSE,FALSE,FALSE,TRUE,500+ bought in past month,FREE delivery Dec 18 - 20 Or fastest delivery Dec 17 - 18 Arrives before Christmas,TRUE
B0D1ZFS9GH,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,$249.99,$399.99,USD,4.5,0,https://www.amazon.com/dp/B0D1ZFS9GH,https://m.media-amazon.com/images/I/61LE9-6KxdL._AC_UY654_FMwebp_QL65_.jpg,9,$197.09,FALSE,FALSE,FALSE,FALSE,4K+ bought in past month,FREE delivery,FALSE
B0CCT2BR1J,Tracfone | Samsung Galaxy A14 5G | Locked | 64GB | 5000mAh Battery | 50 MP triple-camera system | 6.6-in. FHD+ LCD Display | Black,$99.88,,USD,4.3,0,https://www.amazon.com/dp/B0CCT2BR1J,https://m.media-amazon.com/images/I/81amPJwm3YL._AC_UY654_FMwebp_QL65_.jpg,3,$81.99,FALSE,FALSE,FALSE,FALSE,1K+ bought in past month,FREE delivery,FALSE
B0CMDRFVTL,"Samsung Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fast Processor, Long Battery Life, AMOLED Display, US Version, 2024, Cobalt Violet",$779.99,$859.99,USD,4.5,0,https://www.amazon.com/dp/B0CMDRFVTL,https://m.media-amazon.com/images/I/716UvwH-NvL._AC_UY654_FMwebp_QL65_.jpg,3,$642.42,FALSE,FALSE,TRUE,TRUE,500+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",TRUE
B0CMZ5KBNS,"Apple iPhone 15 Pro, 512GB, Black Titanium - Unlocked (Renewed)",$779.99,$839.97,USD,4.2,0,https://www.amazon.com/dp/B0CMZ5KBNS,https://m.media-amazon.com/images/I/41NGdWgVgdL._AC_UY654_FMwebp_QL65_.jpg,16,$723.95,FALSE,FALSE,FALSE,FALSE,100+ bought in past month,FREE delivery Dec 18 - 19 Arrives before ChristmasOnly 12 left in stock - order soon.,TRUE
B0CN1QSH8Q,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",$192.44,,USD,4.1,0,https://www.amazon.com/dp/B0CN1QSH8Q,https://m.media-amazon.com/images/I/41vU1u8DZXL._AC_UY654_FMwebp_QL65_.jpg,2,$159.99,FALSE,FALSE,FALSE,TRUE,3K+ bought in past month,FREE delivery,TRUE
B09NP6697R,"Google Pixel 6 5G, US Version, 128GB, Stormy Black - Unlocked (Renewed)",$186.00,$329.99,USD,4.1,0,https://www.amazon.com/dp/B09NP6697R,https://m.media-amazon.com/images/I/61ruKkvVIxL._AC_UY654_FMwebp_QL65_.jpg,36,$138.99,FALSE,FALSE,TRUE,FALSE,500+ bought in past month,"FREE delivery Tomorrow, Dec 13 Arrives before ChristmasOnly 20 left in stock - order soon.",TRUE
B0CGTNPFZD,"Google Pixel 8 - Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Rose - 128 GB",$584.99,,USD,4.3,0,https://www.amazon.com/dp/B0CGTNPFZD,https://m.media-amazon.com/images/I/71aTjTMFiJL._AC_UY654_FMwebp_QL65_.jpg,3,$449.95,FALSE,FALSE,TRUE,TRUE,100+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",TRUE
B0BZ9XNBRB,Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,$339.00,$499.00,USD,4.3,0,https://www.amazon.com/dp/B0BZ9XNBRB,https://m.media-amazon.com/images/I/61r7cCpQPlL._AC_UY654_FMwebp_QL65_.jpg,12,$303.48,FALSE,FALSE,TRUE,TRUE,1K+ bought in past month,"FREE delivery Fri, Dec 20 Or fastest delivery Mon, Dec 16 Arrives before Christmas",TRUE
B0D2JB6HP5,Motorola Edge | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Midnight Blue,$299.99,$549.99,USD,4.3,0,https://www.amazon.com/dp/B0D2JB6HP5,https://m.media-amazon.com/images/I/81Vo6cSAWbL._AC_UY654_FMwebp_QL65_.jpg,6,$280.07,FALSE,FALSE,FALSE,FALSE,1K+ bought in past month,FREE delivery,FALSE
B0DJ9RDG39,PG65 | 2024 | All-Day Battery | GSM Unlocked | 6.5” Display | 4/64GB | 3000mAh | US Version | US Warranty | Black,$59.99,,USD,2,0,https://www.amazon.com/dp/B0DJ9RDG39,https://m.media-amazon.com/images/I/71tSG64ezSL._AC_UY654_FMwebp_QL65_.jpg,1,$59.99,FALSE,FALSE,TRUE,FALSE,300+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",FALSE
B08L34JQ9C,"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",$169.82,,USD,3.9,0,https://www.amazon.com/dp/B08L34JQ9C,https://m.media-amazon.com/images/I/51yxI5nkPWL._AC_UY654_FMwebp_QL65_.jpg,19,$135.99,FALSE,FALSE,FALSE,TRUE,3K+ bought in past month,FREE deliveryOnly 4 left in stock - order soon.,TRUE
B0CGSG7G3S,BLU G33 | 2023 | All-Day Battery | Unlocked | 6.26” Display | 16/2GB |US Version | US Warranty | Black,$59.90,$69.99,USD,3.4,0,https://www.amazon.com/dp/B0CGSG7G3S,https://m.media-amazon.com/images/I/81fUWzpcHML._AC_UY654_FMwebp_QL65_.jpg,10,$58.95,FALSE,FALSE,TRUE,FALSE,400+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",TRUE
B0C2W7YYHM,"Motorola Edge+ | 2023 | Unlocked | Made for US 8/512 | 50 MPCamera | Intersteller Black, 161.16x74x8.59",$449.99,$799.99,USD,4.3,0,https://www.amazon.com/dp/B0C2W7YYHM,https://m.media-amazon.com/images/I/61eyXBlFk7L._AC_UY654_FMwebp_QL65_.jpg,3,$355.49,FALSE,FALSE,TRUE,FALSE,500+ bought in past month,"FREE delivery Tue, Dec 17 Or fastest delivery Sat, Dec 14 Arrives before Christmas",TRUE
B08VL1Q7Z1,"Samsung Electronics Samsung Galaxy S21 Ultra 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 108MP High Res | 128GB, Black (SM-G998UZKAXAA) (Renewed)",$274.99,,USD,3.8,0,https://www.amazon.com/dp/B08VL1Q7Z1,https://m.media-amazon.com/images/I/91BVnL9M4lL._AC_UY654_FMwebp_QL65_.jpg,5,$242.99,FALSE,FALSE,FALSE,TRUE,300+ bought in past month,"FREE delivery Dec 18 - 20 Or fastest delivery Tomorrow, Dec 13 Arrives before Christmas",FALSE
B0BDY59V1G,"Apple iPhone SE 3rd Gen, 64GB, RED - Unlocked (Renewed)",$195.00,,USD,4.2,0,https://www.amazon.com/dp/B0BDY59V1G,https://m.media-amazon.com/images/I/517KF7KqzqL._AC_UY654_FMwebp_QL65_.jpg,7,$154.68,FALSE,FALSE,FALSE,FALSE,500+ bought in past month,"FREE delivery Sat, Dec 14 Arrives before ChristmasOnly 1 left in stock - order soon.",TRUE
B0D7DK5TC1,"Google Pixel 9 - Unlocked Android Smartphone with Gemini, 24-Hour Battery, Advanced Camera, and 6.3&quot; Actua Display - Porcelain - 256 GB",$749.00,$899.00,USD,4.4,0,https://www.amazon.com/dp/B0D7DK5TC1,https://m.media-amazon.com/images/I/61f5E3GfVYL._AC_UY654_FMwebp_QL65_.jpg,5,$591.71,FALSE,FALSE,TRUE,FALSE,100+ bought in past month,"FREE delivery Wed, Dec 18 Or fastest delivery Sun, Dec 15 Arrives before Christmas",TRUE
